"file","families","dest"
"演示春风楷--gzh：xx的百宝箱.ttf","Slidechunfeng","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\演示春风楷--gzh：xx的百宝箱.ttf"
"锐字潮牌真言简2.0免费 准粗--gzh：xx的百宝箱.ttf","REEJI-ZhenyanGB2.0 Medium","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\锐字潮牌真言简2.0免费 准粗--gzh：xx的百宝箱.ttf"
"GreatVibes-Regular-2.otf","Great Vibes","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\GreatVibes-Regular-2.otf"
"Raleway.ttf","Raleway","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Raleway.ttf"
"Roboto Black.ttf","Roboto Bk","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Roboto Black.ttf"
"soho-gothic-pro-regular.ttf","Soho Pro","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\soho-gothic-pro-regular.ttf"
"思源黑体 CN Heavy.otf","Source Han Sans CN Heavy","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\思源黑体 CN Heavy.otf"
"汉仪旗黑X1-55W.ttf","HYQiHeiX1-55W","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\汉仪旗黑X1-55W.ttf"
"演示流云楷.ttf","Slidefontliuyun","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\演示流云楷.ttf"
"AlimamaShuHeiTi-Bold.otf","Alimama ShuHeiTi Bold","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\AlimamaShuHeiTi-Bold.otf"
"AlimamaShuHeiTi-Bold.ttf","Alimama ShuHeiTi Bold","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\AlimamaShuHeiTi-Bold.ttf"
"DreamHanSansTW-W1.ttf","Dream Han Sans TW W1","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W1.ttf"
"DreamHanSansTW-W10.ttf","Dream Han Sans TW W10","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W10.ttf"
"DreamHanSansTW-W11.ttf","Dream Han Sans TW W11","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W11.ttf"
"DreamHanSansTW-W12.ttf","Dream Han Sans TW","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W12.ttf"
"DreamHanSansTW-W13.ttf","Dream Han Sans TW W13","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W13.ttf"
"DreamHanSansTW-W14.ttf","Dream Han Sans TW W14","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W14.ttf"
"DreamHanSansTW-W15.ttf","Dream Han Sans TW W15","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W15.ttf"
"DreamHanSansTW-W16.ttf","Dream Han Sans TW W16","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W16.ttf"
"DreamHanSansTW-W17.ttf","Dream Han Sans TW W17","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W17.ttf"
"DreamHanSansTW-W18.ttf","Dream Han Sans TW W18","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W18.ttf"
"DreamHanSansTW-W19.ttf","Dream Han Sans TW W19","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W19.ttf"
"DreamHanSansTW-W2.ttf","Dream Han Sans TW W2","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W2.ttf"
"DreamHanSansTW-W20.ttf","Dream Han Sans TW W20","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W20.ttf"
"DreamHanSansTW-W21.ttf","Dream Han Sans TW W21","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W21.ttf"
"DreamHanSansTW-W22.ttf","Dream Han Sans TW","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W22.ttf"
"DreamHanSansTW-W23.ttf","Dream Han Sans TW W23","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W23.ttf"
"DreamHanSansTW-W24.ttf","Dream Han Sans TW W24","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W24.ttf"
"DreamHanSansTW-W25.ttf","Dream Han Sans TW W25","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W25.ttf"
"DreamHanSansTW-W26.ttf","Dream Han Sans TW W26","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W26.ttf"
"DreamHanSansTW-W27.ttf","Dream Han Sans TW W27","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W27.ttf"
"DreamHanSansTW-W3.ttf","Dream Han Sans TW W3","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W3.ttf"
"DreamHanSansTW-W4.ttf","Dream Han Sans TW W4","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W4.ttf"
"DreamHanSansTW-W5.ttf","Dream Han Sans TW W5","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W5.ttf"
"DreamHanSansTW-W6.ttf","Dream Han Sans TW W6","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W6.ttf"
"DreamHanSansTW-W7.ttf","Dream Han Sans TW W7","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W7.ttf"
"DreamHanSansTW-W8.ttf","Dream Han Sans TW W8","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W8.ttf"
"DreamHanSansTW-W9.ttf","Dream Han Sans TW W9","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DreamHanSansTW-W9.ttf"
"Bebas Neue.ttf","Bebas Neue","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Bebas Neue.ttf"
"Cambria.ttc","Cambria | Cambria Math","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Cambria.ttc"
"HarmonyOS Sans SC Light.ttf","HarmonyOS Sans SC Light","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\HarmonyOS Sans SC Light.ttf"
"梦源黑体 CN W14.ttf","Dream Han Sans CN W14","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\梦源黑体 CN W14.ttf"
"梦源黑体 CN W20.ttf","Dream Han Sans CN W20","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\梦源黑体 CN W20.ttf"
"等线.ttf","DengXian","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\等线.ttf"
"腾祥伯当行楷简.ttf","Tensentype BoDangXingKaiJ","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\腾祥伯当行楷简.ttf"
"Bebas.TTF","Bebas","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Bebas.TTF"
"99675e8d17ef150901586305007.ttf","AnJingChenMaoBiXingShu","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\99675e8d17ef150901586305007.ttf"
"AA润行体V1.2.TTF","AaRunxingti (Non-Commercial Use","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\AA润行体V1.2.TTF"
"AA马上行楷.TTF","AaMSXK","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\AA马上行楷.TTF"
"gvCE24.ttf","HCWangshili-2018","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\gvCE24.ttf"
"No.99-ShangShouYuanZhengTi-2.ttf","098-上首元正体","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\No.99-ShangShouYuanZhengTi-2.ttf"
"ShangShouZhiZunShuFaTi-2.ttf","SSZhiZunShuFaTi","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\ShangShouZhiZunShuFaTi-2.ttf"
"simfang.ttf","FangSong","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\simfang.ttf"
"Slidefont-Boom.ttf","Slidefont-Boom Heavy","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Slidefont-Boom.ttf"
"SlideFontTGX.ttf","SlideFontTGX","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\SlideFontTGX.ttf"
"于洪亮毛笔行楷简体.ttf","于洪亮毛笔行楷简体","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\于洪亮毛笔行楷简体.ttf"
"创客贴金刚体.otf","CKTKingKong","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\创客贴金刚体.otf"
"千图笔锋手写体.ttf","qiantubifengshouxieti","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\千图笔锋手写体.ttf"
"向佳红中华金榜体.ttf","向佳红字迹——中华金榜体","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\向佳红中华金榜体.ttf"
"字魂50号-白鸽天行体.ttf","zihun50hao-baigetianxingti","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\字魂50号-白鸽天行体.ttf"
"峰广明锐体.ttf","FengGuangMingRui","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\峰广明锐体.ttf"
"庞门正道标题体.ttf","PangMenZhengDao","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\庞门正道标题体.ttf"
"庞门正道粗书体.ttf","PangMenZhengDao-Cu","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\庞门正道粗书体.ttf"
"方正字迹-陈代明行楷简体.TTF","FZZJ-CDMXKJW","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\方正字迹-陈代明行楷简体.TTF"
"汉仪许静行楷W.ttf","HYXuJingXingKaiW","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\汉仪许静行楷W.ttf"
"汉呈王天喜榜书.TTF","HCWTXBS-2019","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\汉呈王天喜榜书.TTF"
"演示夏行楷.ttf","Slidexiaxing","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\演示夏行楷.ttf"
"站酷鸿远御风体-修正版.TTF","Zcool-HongYuanYuFeng","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\站酷鸿远御风体-修正版.TTF"
"米开飘逸行楷.ttf","米开飘逸行楷","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\米开飘逸行楷.ttf"
"胡晓波男神体.otf","HuXiaoBo-NanShen","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\胡晓波男神体.otf"
"腾讯体.TTF","FontName","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\腾讯体.TTF"
"造字工房俊雅体（非商用）.ttf","MF JunYa(Noncommercial)","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\造字工房俊雅体（非商用）.ttf"
"阿里汉仪智能黑体.ttf","AliHYAiHei","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\阿里汉仪智能黑体.ttf"
"字体圈欣意冠黑体.ttf","Fontquan-XinYiGuanHeiTi","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\字体圈欣意冠黑体.ttf"
"演示悠然小凯.ttf","slideyouran","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\演示悠然小凯.ttf"
"演示新手书(1).ttf","Slide Fonts","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\演示新手书(1).ttf"
"SlideTownsoul-Regular.ttf","SlideTownsoul","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\SlideTownsoul-Regular.ttf"
"思源黑体-Heavy.otf","Source Han Sans CN Heavy","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\思源黑体-Heavy.otf"
"意冠黑体.ttf","FontquanXinYiGuanHeiTi","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\意冠黑体.ttf"
"SourceHanSansCN-VF-2.otf","Source Han Sans CN VF | Source Han Sans CN VF ExtraLigh | Source Han Sans CN VF Heavy | Source Han Sans CN VF Light | Source Han Sans CN VF Normal","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\SourceHanSansCN-VF-2.otf"
"江城斜黑体 900W.ttf","江城斜黑体 900W","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\江城斜黑体 900W.ttf"
