deck_id,family,gold,size_mb,filename,fullpath
red_00_红色PPT模板17页,red_tour,1,36.04,款奖杯&证书边框.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT\红旅红色主题国金--gzh：xx的百宝箱\红色PPT模板（17页）\国赛金奖红色PPT模板（17页）\红色PPT模板（17页）\款奖杯&证书边框.pptx
red_01_红旅赛道乡之情奏青春,red_tour,0,281.86,红旅赛道乡村旅游模板PPT(1).pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT\红旅赛道-乡之情奏青春曲--gzh：xx的百宝箱\红旅赛道乡村旅游模板PPT(1).pptx
red_02_创赛精选PPT,red_tour,0,114.55,红色党建帮助老人--gzh：xx的百宝箱.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛精选PPT\红色党建帮助老人--gzh：xx的百宝箱.pptx
red_03_创赛PPT26年整理,red_tour,0,48.55,【红旅】大学生互联网创赛红旅赛道关爱留守儿童--淘宝店：烦烦优创馆.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT【26年整理】\【红旅】大学生互联网创赛红旅赛道关爱留守儿童--淘宝店：烦烦优创馆.pptx
general_04_创赛PPT26年整理,general_unknown,0,405.86,林巡下乡-做有效率有温度的林业守护者（6.26）--gzh：xx的百宝箱.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT【26年整理】\林巡下乡-做有效率有温度的林业守护者（6.26）--gzh：xx的百宝箱.pptx
general_05_创赛精选PPT,general_unknown,0,113.39,土黄国风传统手工--gzh：xx的百宝箱.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛精选PPT\土黄国风传统手工--gzh：xx的百宝箱.pptx
general_06_字体全部下载都安装上,general_unknown,0,60.11,字效.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\字体-全部下载都安装上\字效.pptx
general_07_创赛PPT26年整理,general_unknown,0,35.93,智灾先锋--淘宝店：烦烦优创馆.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT【26年整理】\智灾先锋--淘宝店：烦烦优创馆.pptx
redgold_08_红金非遗泼釉流金,redgold_heritage,1,37.66,16页-国奖水准红金风格PPT-康帅制作--gzh：xx的百宝箱.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\乡村振兴和农业农村现代化 红旅\红金非遗-泼釉流金\16页-国奖水准红金风格PPT-康帅制作--gzh：xx的百宝箱.pptx
redgold_09_红旅青年红色筑梦之旅,redgold_heritage,0,82.9,【红色主题】挑战杯及互联网+通用模板--淘宝店：烦烦优创馆.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT【26年整理】\传统文化-红旅-科技文化-农业\【红旅】青年红色筑梦之旅赛道·公益组\【红色主题】挑战杯及互联网+通用模板--淘宝店：烦烦优创馆.pptx
redgold_10_创赛精选PPT,redgold_heritage,0,61.51,红色国风非遗文化--gzh：xx的百宝箱.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛精选PPT\红色国风非遗文化--gzh：xx的百宝箱.pptx
redgold_11_创赛精选PPT,redgold_heritage,0,37.75,东方遗韵——源文件--gzh：xx的百宝箱.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛精选PPT\东方遗韵——源文件--gzh：xx的百宝箱.pptx
green_12_红色PPT模板17页,green_agri,1,2.64,麦穗橄榄枝素材(2).pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\乡村振兴和农业农村现代化 红旅\红旅红色主题国金--gzh：xx的百宝箱\红色PPT模板（17页）\国赛金奖红色PPT模板（17页）\红色PPT模板（17页）\麦穗橄榄枝素材(2).pptx
green_13_红旅乡村振兴PPT,green_agri,0,70.27,186寻梦 (1)--gzh：xx的百宝箱.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\乡村振兴和农业农村现代化 红旅\红旅-乡村振兴PPT\186寻梦 (1)--gzh：xx的百宝箱.pptx
green_14_红旅乡村振兴PPT,green_agri,0,33.12,110hongse--淘宝店：烦烦优创馆.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛精选PPT\红旅-乡村振兴PPT\110hongse--淘宝店：烦烦优创馆.pptx
blue_15_创赛PPT26年整理,blue_tech,0,139.61,桥平科技11(2)--gzh：xx的百宝箱.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT【26年整理】\桥平科技11(2)--gzh：xx的百宝箱.pptx
blue_16_创赛精选PPT,blue_tech,0,54.09,蓝白水产养殖--gzh：xx的百宝箱.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛精选PPT\蓝白水产养殖--gzh：xx的百宝箱.pptx
med_17_创赛精选PPT,med_blue_white,0,173.84,深蓝深邃基因安全--gzh：xx的百宝箱.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛精选PPT\深蓝深邃基因安全--gzh：xx的百宝箱.pptx
med_18_橙色养老模板,med_blue_white,0,65.77,橙色养老模板--淘宝店：烦烦优创馆.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\部分医学类创赛PPT\橙色养老-银发经济\橙色养老模板\橙色养老模板--淘宝店：烦烦优创馆.pptx
dark_19_创赛精选PPT,dark_tech,0,135.02,深蓝科技风无人机--gzh：xx的百宝箱.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛精选PPT\深蓝科技风无人机--gzh：xx的百宝箱.pptx
