deck_id,family,gold,size_mb,filename,fullpath
blue_guojin_dingna,blue_tech,1,134.79,国金定拿.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT\20页蓝色科技国金定拿模板--gzh：xx的百宝箱\国金定拿.pptx
blue_jiapei,blue_tech,0,61.8,驾培智链--淘宝店：烦烦优创馆.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛精选PPT\蓝色科技-驾培智链\驾培智链--淘宝店：烦烦优创馆.pptx
blue_kjf20,blue_tech,0,65.0,【科技风】20页科技风创赛ppt模板--淘宝店：烦烦优创馆.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT【26年整理】\【科技风】20页科技风创赛ppt模板--淘宝店：烦烦优创馆.pptx
blue_cleanangel_defense,blue_tech,0,135.02,clean angel——高空外墙清洁无人机（答辩ppt） (1)--gzh：xx的百宝箱  -  只读--gzh：xx的百宝箱.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT【26年整理】\clean angel——高空外墙清洁无人机（答辩ppt） (1)--gzh：xx的百宝箱  -  只读--gzh：xx的百宝箱.pptx
green_maigu,green_agri,1,126.96,麦谷丰登.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\乡村振兴和农业农村现代化 红旅\绿色农业科技-麦谷丰登--gzh：xx的百宝箱\国金创赛PPT模板20页紫色科技排版美化互联网高教赛道挑战杯\麦谷丰登.pptx
green_nongye28,green_agri,0,201.92,28页科技农业创赛PPT静态模板002.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT\农业绿色-无人机--gzh：xx的百宝箱\28页科技农业创赛PPT静态模板002.pptx
green_ocean,green_agri,1,101.68,海洋守护.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT\蓝色-海洋守护--gzh：xx的百宝箱\国金创赛PPT模板20页蓝色高端科技风创赛PPT互联网高教赛道含字体_20250302_233342\海洋守护.pptx
red_hongse,red_tour,1,35.33,红色红旅.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\乡村振兴和农业农村现代化 红旅\红旅红色主题国金--gzh：xx的百宝箱\红色PPT模板（17页）\国赛金奖红色PPT模板（17页）\红色PPT模板（17页）\红色红旅.pptx
red_kuanjianbang,red_tour,1,43.09,练就宽肩膀.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\乡村振兴和农业农村现代化 红旅\红旅国金-练就宽肩膀提升真本领--gzh：xx的百宝箱\练就宽肩膀.pptx
red_zhiyuanzhe,red_tour,0,54.44,志愿者在行动.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\乡村振兴和农业农村现代化 红旅\红旅-公益志愿者在行动--gzh：xx的百宝箱\志愿者在行动.pptx
